               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079035,            0.027688,            0.036314,             0.39421,             0.13132,             0.16754,            0.066929,            0.053822,            0.010108,            0.025132,            0.070139,           0.0033179,           0.0033179
                   1,            0.055594,            0.023367,            0.020962,             0.34021,              0.3261,             0.25944,             0.12602,            0.050813,           0.0091276,            0.020736,            0.040117,           0.0066293,           0.0066293
                   2,             0.05141,            0.021927,            0.019215,             0.26601,             0.30254,             0.21845,            0.093137,             0.04956,           0.0097889,            0.021197,            0.010073,           0.0099187,           0.0099187
                   3,            0.049449,            0.021849,            0.019242,             0.41889,             0.31632,             0.28797,             0.10969,            0.047881,           0.0099575,            0.018613,            0.009901,            0.009901,            0.009901
                   4,            0.047198,            0.021267,            0.018275,             0.27906,             0.32805,             0.24379,             0.10599,             0.04787,            0.010473,            0.019126,            0.009901,            0.009901,            0.009901
                   5,            0.047823,            0.022437,            0.018321,             0.36785,              0.3346,             0.32338,             0.13584,            0.046329,            0.010385,            0.019026,            0.009868,            0.009868,            0.009868
                   6,            0.045388,             0.02171,            0.017636,             0.40261,             0.35842,             0.33097,             0.14476,            0.044345,           0.0099243,            0.017478,            0.009835,            0.009835,            0.009835
                   7,            0.043038,            0.021018,            0.015788,              0.4876,             0.37244,             0.36713,             0.17078,            0.045219,            0.010136,            0.017563,            0.009802,            0.009802,            0.009802
                   8,             0.04204,            0.020806,            0.015773,             0.45066,             0.35189,             0.36737,             0.17474,            0.041437,            0.010178,            0.016034,            0.009769,            0.009769,            0.009769
                   9,            0.040136,            0.020214,            0.014999,             0.37637,             0.35447,             0.32643,              0.1586,            0.042665,            0.009729,            0.017488,            0.009736,            0.009736,            0.009736
                  10,            0.041823,            0.021002,            0.015743,             0.40788,             0.37625,             0.33968,             0.15855,            0.043508,            0.010031,            0.016888,            0.009703,            0.009703,            0.009703
                  11,            0.039198,            0.021422,            0.016722,               0.508,             0.41143,              0.3871,             0.18309,            0.041711,           0.0099215,            0.015952,             0.00967,             0.00967,             0.00967
